Instance,Run,Score,Runtime
data/large1.in,1,198,60.11982345581055
data/large1.in,2,209,60.37506604194641
data/large1.in,3,156,60.74563193321228
data/large1.in,4,251,60.680537939071655
data/large1.in,5,214,60.52723932266235
data/large1.in,6,268,60.67902421951294
data/large1.in,7,263,60.128772020339966
data/large1.in,8,329,60.39294195175171
data/large1.in,9,192,60.51026153564453
data/large1.in,10,266,60.7391254901886
data/large1.in,11,176,60.54237103462219
data/large1.in,12,237,60.288646936416626
data/large1.in,13,222,60.32419681549072
data/large1.in,14,227,60.35037899017334
data/large1.in,15,267,60.571022510528564
data/large1.in,16,285,60.71748495101929
data/large1.in,17,205,60.51460576057434
data/large1.in,18,155,31.805723905563354
data/large1.in,19,149,59.78259491920471
data/large1.in,20,147,41.6974515914917
data/large10.in,1,672,60.12846660614014
data/large10.in,2,944,60.03912687301636
data/large10.in,3,692,60.133883237838745
data/large10.in,4,763,60.00545787811279
data/large10.in,5,720,60.211962938308716
data/large10.in,6,508,60.161240339279175
data/large10.in,7,778,60.039167642593384
data/large10.in,8,535,60.1138858795166
data/large10.in,9,522,60.06115746498108
data/large10.in,10,839,60.08738327026367
data/large10.in,11,565,60.11992120742798
data/large10.in,12,564,60.21695041656494
data/large10.in,13,949,60.110565185546875
data/large10.in,14,644,60.15301537513733
data/large10.in,15,607,60.05367946624756
data/large10.in,16,531,60.05165982246399
data/large10.in,17,839,60.05071830749512
data/large10.in,18,622,60.03806257247925
data/large10.in,19,592,60.18313813209534
data/large10.in,20,581,60.04811096191406
data/large11.in,1,79,8.014464855194092
data/large11.in,2,84,8.560370683670044
data/large11.in,3,87,13.190470933914185
data/large11.in,4,81,8.947717189788818
data/large11.in,5,83,11.75052785873413
data/large11.in,6,79,10.159075736999512
data/large11.in,7,85,7.841357707977295
data/large11.in,8,85,8.610136985778809
data/large11.in,9,82,21.4689679145813
data/large11.in,10,83,12.704410314559937
data/large11.in,11,82,9.795342445373535
data/large11.in,12,86,7.228199005126953
data/large11.in,13,80,9.30735969543457
data/large11.in,14,82,6.541830539703369
data/large11.in,15,80,11.593058824539185
data/large11.in,16,84,5.550975322723389
data/large11.in,17,82,14.289546251296997
data/large11.in,18,82,10.00531792640686
data/large11.in,19,84,12.56779932975769
data/large11.in,20,86,7.600790977478027
data/large12.in,1,30,0.21612334251403809
data/large12.in,2,29,0.4237353801727295
data/large12.in,3,32,0.20466136932373047
data/large12.in,4,26,0.3598048686981201
data/large12.in,5,32,0.23492217063903809
data/large12.in,6,30,0.2001180648803711
data/large12.in,7,32,0.22116589546203613
data/large12.in,8,33,0.274094820022583
data/large12.in,9,33,0.2720475196838379
data/large12.in,10,27,0.23476910591125488
data/large12.in,11,26,0.17023468017578125
data/large12.in,12,31,0.37517690658569336
data/large12.in,13,28,0.1945042610168457
data/large12.in,14,33,0.26809072494506836
data/large12.in,15,29,0.33310556411743164
data/large12.in,16,30,0.4055161476135254
data/large12.in,17,29,0.23246192932128906
data/large12.in,18,30,0.18238544464111328
data/large12.in,19,30,0.2512328624725342
data/large12.in,20,31,0.3341846466064453
data/large2.in,1,32,0.05496931076049805
data/large2.in,2,32,0.07606172561645508
data/large2.in,3,30,0.06751060485839844
data/large2.in,4,31,0.04250741004943848
data/large2.in,5,28,0.1112370491027832
data/large2.in,6,34,0.060699462890625
data/large2.in,7,30,0.051305532455444336
data/large2.in,8,31,0.04946565628051758
data/large2.in,9,31,0.0776216983795166
data/large2.in,10,26,0.056519269943237305
data/large2.in,11,32,0.08467864990234375
data/large2.in,12,30,0.12208271026611328
data/large2.in,13,32,0.10061430931091309
data/large2.in,14,30,0.04879140853881836
data/large2.in,15,31,0.03651857376098633
data/large2.in,16,30,0.07828259468078613
data/large2.in,17,33,0.08529090881347656
data/large2.in,18,32,0.06830883026123047
data/large2.in,19,29,0.08257031440734863
data/large2.in,20,33,0.029859066009521484
data/large3.in,1,29,1.2095677852630615
data/large3.in,2,31,0.5480825901031494
data/large3.in,3,31,0.48574137687683105
data/large3.in,4,32,0.4964289665222168
data/large3.in,5,29,0.7445192337036133
data/large3.in,6,31,1.2462811470031738
data/large3.in,7,32,0.6124610900878906
data/large3.in,8,28,0.9768466949462891
data/large3.in,9,32,0.6624493598937988
data/large3.in,10,29,0.6299245357513428
